admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,gari,KG,actual,Retail,XOF,215.0,0.4478
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Riz (importé),KG,actual,Retail,XOF,345.0,0.7186
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Sorgho,KG,actual,Retail,XOF,205.0,0.427
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,gari,KG,actual,Retail,XOF,215.0,0.4458
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Riz (importé),KG,actual,Retail,XOF,345.0,0.7154
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Sorgho,KG,actual,Retail,XOF,200.0,0.4147
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,gari,KG,actual,Retail,XOF,235.0,0.4906
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Riz (importé),KG,actual,Retail,XOF,345.0,0.7202
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Sorgho,KG,actual,Retail,XOF,230.0,0.4801
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,gari,KG,actual,Retail,XOF,185.0,0.3931
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Riz (importé),KG,actual,Retail,XOF,345.0,0.7331
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Sorgho,KG,actual,Retail,XOF,255.0,0.5418
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,gari,KG,actual,Retail,XOF,180.0,0.3978
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Riz (importé),KG,actual,Retail,XOF,365.0,0.8066
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Sorgho,KG,actual,Retail,XOF,255.0,0.5635
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,gari,KG,actual,Retail,XOF,180.0,0.4091
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Riz (importé),KG,actual,Retail,XOF,400.0,0.9092
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Sorgho,KG,actual,Retail,XOF,260.0,0.5909
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,gari,KG,actual,Retail,XOF,180.0,0.4045
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Riz (importé),KG,actual,Retail,XOF,400.0,0.8989
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Sorgho,KG,actual,Retail,XOF,260.0,0.5843
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,131.25,0.3018
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,120.0,0.2759
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,300.0,0.6897
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,116.25,0.2673
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,gari,KG,actual,Retail,XOF,180.0,0.4138
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Riz (importé),KG,actual,Retail,XOF,375.0,0.8621
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Sorgho,KG,actual,Retail,XOF,260.0,0.5978
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,143.75,0.3282
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,126.25,0.2882
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,282.0,0.6438
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,128.75,0.2939
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,gari,KG,actual,Retail,XOF,180.0,0.4109
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Riz (importé),KG,actual,Retail,XOF,400.0,0.9132
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Sorgho,KG,actual,Retail,XOF,265.0,0.605
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,148.75,0.3509
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,138.75,0.3273
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,287.5,0.6781
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,151.25,0.3568
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,gari,KG,actual,Retail,XOF,210.0,0.4953
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Riz (importé),KG,actual,Retail,XOF,420.0,0.9907
Littoral,Cotonou,Dantokpa,6.374875,2.430846,cereals and tubers,Sorgho,KG,actual,Retail,XOF,285.0,0.6722
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,149.0,0.3657
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,143.0,0.351
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,287.2,0.705
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,139.0,0.3412
